id,nguoi-dung,ngay-tao,chi-tiet,xu-ly
87ee6347-ef9b-4c48-9836-37e95c16729d,1061d3c5-5da4-40eb-b018-09fd3e4b98ca,2021-02-23T12:43:50+07:00,"[{'san-pham': '1728630145-367', 'so-luong': 1}]",roi
997d93f0-d291-4022-b6fb-01384ece43d7,2052e8cd-c244-49bf-bf38-1366484ebbc9,2022-05-30T23:43:49+07:00,"[{'san-pham': '1728630149-420', 'so-luong': 3}, {'san-pham': '1728630161-632', 'so-luong': 5}]",roi
42b0f76b-b66b-4340-8a81-1469c83e32bc,24671cb4-7be9-4f41-85c1-ee52e8ea0be9,2021-01-17T08:41:11+07:00,"[{'san-pham': '1728630136-243', 'so-luong': 4}, {'san-pham': '1728630167-706', 'so-luong': 1}]",roi
cf2a8048-37a6-4d60-962c-bc6d152faf08,d02975f9-1fcc-4538-992c-19f445c9abc4,2022-02-03T21:10:20+07:00,"[{'san-pham': '1728630149-440', 'so-luong': 2}, {'san-pham': '1728630136-243', 'so-luong': 3}]",roi
0d72c92f-4aa6-4ed0-8740-d228cba38988,a423319b-8ef4-469a-9b80-8d903242fc18,2020-11-19T19:28:21+07:00,"[{'san-pham': '1728630161-634', 'so-luong': 5}, {'san-pham': '1728630139-287', 'so-luong': 4}, {'san-pham': '1728630145-401', 'so-luong': 3}, {'san-pham': '1728630133-180', 'so-luong': 5}, {'san-pham': '1728630142-356', 'so-luong': 3}]",roi
d272325b-acee-4388-b8ce-0a611a156a29,1514e73a-677a-452f-b28b-694192978aa5,2023-02-04T23:50:44+07:00,"[{'san-pham': '1728630124-47', 'so-luong': 5}]",roi
414ba7d7-8501-4ffe-bf56-b02ea8dbbaa1,56422fc7-043b-4b20-88d4-feb115e17fb1,2020-08-08T22:52:26+07:00,"[{'san-pham': '1728630121-10', 'so-luong': 5}, {'san-pham': '1728630167-721', 'so-luong': 2}, {'san-pham': '1728630152-504', 'so-luong': 3}, {'san-pham': '1728630167-749', 'so-luong': 3}]",huy
0f454c1f-e6fc-466b-8d86-f70a5b18ec52,a3dc9610-572f-47b3-b847-d441f6af292c,2024-09-03T01:48:13+07:00,"[{'san-pham': '1728630155-541', 'so-luong': 4}, {'san-pham': '1728630124-66', 'so-luong': 2}]",roi
6ae029a0-e9f2-4de0-828c-479518c88484,560c0f37-935e-4851-bb7f-0d40f4bfd8ac,2021-03-09T07:19:46+07:00,"[{'san-pham': '1728630136-252', 'so-luong': 2}, {'san-pham': '1728630149-420', 'so-luong': 3}, {'san-pham': '1728630124-59', 'so-luong': 5}, {'san-pham': '1728630158-574', 'so-luong': 5}]",roi
7bd4b47f-448c-4642-932a-44ab0be6d2d1,13d1997e-5daf-4ec7-91ba-f6fc90275cb9,2024-09-08T10:00:13+07:00,"[{'san-pham': '1728630145-413', 'so-luong': 1}]",roi
