web-scraper-order,web-scraper-start-url,image-src,image2-src,name,price,image-file,image2-file,price-n,price-sale-n,category
1728630121-1,https://lynvn.com/collections/view-all-bags?page=16,//lynvn.com/cdn/shop/files/LL24MBF311_BLK000_1.jpg?v=1727922629&width=2480,//lynvn.com/cdn/shop/files/LL24MBF311_BLK000_3.jpg?v=1727922630&width=2480,Túi Đeo Vai Abbey Infinite M,1.950.200 ₫,LL24MBF311_BLK000_1.jpg,LL24MBF311_BLK000_3.jpg,1950200,1799999,tote
1728630121-2,https://lynvn.com/collections/view-all-bags?page=16,//lynvn.com/cdn/shop/files/LL24WBF394_BLK000_1.jpg?v=1727922707&width=2480,//lynvn.com/cdn/shop/files/LL24WBF394_BLK000_3.jpg?v=1727922707&width=2480,Túi Đeo Chéo Moon Party Infinite M,2.146.200 ₫,LL24WBF394_BLK000_1.jpg,LL24WBF394_BLK000_3.jpg,2146200,1995999,standard
1728630121-3,https://lynvn.com/collections/view-all-bags?page=16,//lynvn.com/cdn/shop/files/LL24WBF394_WHT500_1.jpg?v=1727922741&width=2480,//lynvn.com/cdn/shop/files/LL24WBF394_WHT500_3.jpg?v=1727922741&width=2480,Túi Đeo Chéo Moon Party Infinite M,2.146.200 ₫,LL24WBF394_WHT500_1.jpg,LL24WBF394_WHT500_3.jpg,2146200,1995999,sling
1728630121-4,https://lynvn.com/collections/view-all-bags?page=16,//lynvn.com/cdn/shop/files/LL24WBF395_BLK050_1.jpg?v=1727922784&width=2480,//lynvn.com/cdn/shop/files/LL24WBF395_BLK050_3.jpg?v=1727922785&width=2480,Túi Đeo Chéo Moon Party Infinite M,2.146.200 ₫,LL24WBF395_BLK050_1.jpg,LL24WBF395_BLK050_3.jpg,2146200,1995999,messenger
1728630121-5,https://lynvn.com/collections/view-all-bags?page=16,//lynvn.com/cdn/shop/files/LL24WBF395_GRY800_1.jpg?v=1727922812&width=2480,//lynvn.com/cdn/shop/files/LL24WBF395_GRY800_3.jpg?v=1727922812&width=2480,Túi Đeo Chéo Moon Party Infinite M,2.146.200 ₫,LL24WBF395_GRY800_1.jpg,LL24WBF395_GRY800_3.jpg,2146200,1995999,standard
1728630121-6,https://lynvn.com/collections/view-all-bags?page=16,//lynvn.com/cdn/shop/files/LL24WBF395_PNK050_1.jpg?v=1727922835&width=2480,//lynvn.com/cdn/shop/files/LL24WBF395_PNK050_3.jpg?v=1727922836&width=2480,Túi Đeo Chéo Moon Party Infinite M,2.146.200 ₫,LL24WBF395_PNK050_1.jpg,LL24WBF395_PNK050_3.jpg,2146200,1995999,sling
1728630121-7,https://lynvn.com/collections/view-all-bags?page=16,//lynvn.com/cdn/shop/files/LL24CBF349_PNK100_1_ab3b7b89-18d6-4fe2-91e1-90a814de520b.jpg?v=1719451954&width=2480,//lynvn.com/cdn/shop/files/LL24CBF349_PNK100_2_705fbaf4-6a84-47ae-8f35-0b3eabff31c9.jpg?v=1719451954&width=2480,Túi Đeo Chéo Maila,1.754.200 ₫,LL24CBF349_PNK100_1_ab3b7b89-18d6-4fe2-91e1-90a814de520b.jpg,LL24CBF349_PNK100_2_705fbaf4-6a84-47ae-8f35-0b3eabff31c9.jpg,1754200,1603999,messenger
1728630121-8,https://lynvn.com/collections/view-all-bags?page=16,//lynvn.com/cdn/shop/files/LL24FBF064_BEG100_1_27794a5c-4741-498f-bea9-2c81f381e779.jpg?v=1722322207&width=2480,//lynvn.com/cdn/shop/files/LL24FBF064_BEG100_2_91826276-8170-47f8-b727-ba9f8886597a.jpg?v=1722322207&width=2480,Túi Đeo Vai Janece,1.950.200 ₫,LL24FBF064_BEG100_1_27794a5c-4741-498f-bea9-2c81f381e779.jpg,LL24FBF064_BEG100_2_91826276-8170-47f8-b727-ba9f8886597a.jpg,1950200,1799999,laptop
1728630121-9,https://lynvn.com/collections/view-all-bags?page=16,//lynvn.com/cdn/shop/files/LL24CBF117_WHT600_1_dff8ec97-3e9c-453b-b4af-7d4e20e12ddc.jpg?v=1711559539&width=2480,//lynvn.com/cdn/shop/files/LL24CBF117_WHT600_2_6246e241-83de-4257-a655-c1e1704cd02a.jpg?v=1711559540&width=2480,Túi Đeo Chéo Mini Peony Hobo,1.460.200 ₫,LL24CBF117_WHT600_1_dff8ec97-3e9c-453b-b4af-7d4e20e12ddc.jpg,LL24CBF117_WHT600_2_6246e241-83de-4257-a655-c1e1704cd02a.jpg,1460200,1309999,laptop
1728630121-10,https://lynvn.com/collections/view-all-bags?page=16,//lynvn.com/cdn/shop/files/LL24SBF016_PNK000_1_51e0b9c4-4d3c-486b-a524-21cc1a3258a5.jpg?v=1712194455&width=2480,//lynvn.com/cdn/shop/files/LL24SBF016_PNK000_2_8474f072-e14a-4415-90f4-eea1e9f4c0a2.jpg?v=1712194454&width=2480,Túi Đeo Chéo Isabel Neo,2.048.200 ₫,LL24SBF016_PNK000_1_51e0b9c4-4d3c-486b-a524-21cc1a3258a5.jpg,LL24SBF016_PNK000_2_8474f072-e14a-4415-90f4-eea1e9f4c0a2.jpg,2048200,1897999,messenger
1728630121-11,https://lynvn.com/collections/view-all-bags?page=16,//lynvn.com/cdn/shop/products/LL22FBF249_BLK000_1.jpg?v=1726818435&width=2480,//lynvn.com/cdn/shop/products/LL22FBF249_BLK000_2.jpg?v=1665326955&width=2480,Túi Đeo Vai Como,1.950.200 ₫,LL22FBF249_BLK000_1.jpg,LL22FBF249_BLK000_2.jpg,1950200,1799999,sling
1728630121-12,https://lynvn.com/collections/view-all-bags?page=16,//lynvn.com/cdn/shop/files/LL24FBS175_RED000_1_0e2758c5-3ab3-4606-b400-d69fd6480dfb.jpg?v=1728469244&width=2480,//lynvn.com/cdn/shop/files/LL24FBS175_RED000_2_f09d0a70-bbad-4688-8bf5-1d60cb48605b.jpg?v=1728469244&width=2480,Prisma M Shoulder Bag - Red,1.950.200 ₫,LL24FBS175_RED000_1_0e2758c5-3ab3-4606-b400-d69fd6480dfb.jpg,LL24FBS175_RED000_2_f09d0a70-bbad-4688-8bf5-1d60cb48605b.jpg,1950200,1799999,duffle
